image_path,annotation_path,label,x1,y1,x2,y2,source_folder
Test\Images\124\0003.jpg,Test\Annotations\124\0003.txt,0,,,,,124
Test\Images\147\0302.jpg,Test\Annotations\147\0302.txt,0,,,,,147
Test\Images\123\0075.jpg,Test\Annotations\123\0075.txt,1,380,125,445,216,123
Test\Images\115\0018.jpg,Test\Annotations\115\0018.txt,1,213,136,267,201,115
Test\Images\140\0090.jpg,Test\Annotations\140\0090.txt,1,23,198,162,463,140
Test\Images\131\0237.jpg,Test\Annotations\131\0237.txt,1,331,244,442,406,131
Test\Images\101\0131.jpg,Test\Annotations\101\0131.txt,1,366,236,443,390,101
Test\Images\155\0187.jpg,Test\Annotations\155\0187.txt,1,368,187,422,280,155
Test\Images\133\0197.jpg,Test\Annotations\133\0197.txt,0,,,,,133
Test\Images\126\0092.jpg,Test\Annotations\126\0092.txt,1,106,20,468,345,126
Test\Images\102\0174.jpg,Test\Annotations\102\0174.txt,1,309,147,368,264,102
Test\Images\154\0138.jpg,Test\Annotations\154\0138.txt,1,329,110,364,143,154
Test\Images\147\0143.jpg,Test\Annotations\147\0143.txt,1,70,148,159,318,147
Test\Images\127\0365.jpg,Test\Annotations\127\0365.txt,1,387,183,439,245,127
Test\Images\150\0090.jpg,Test\Annotations\150\0090.txt,1,246,109,312,173,150
Test\Images\128\0372.jpg,Test\Annotations\128\0372.txt,1,201,241,307,378,128
Test\Images\130\0010.jpg,Test\Annotations\130\0010.txt,1,440,69,464,89,130
Test\Images\154\0107.jpg,Test\Annotations\154\0107.txt,1,367,109,388,132,154
Test\Images\115\0156.jpg,Test\Annotations\115\0156.txt,1,401,30,494,124,115
Test\Images\128\0470.jpg,Test\Annotations\128\0470.txt,1,213,215,319,353,128
Test\Images\112\0036.jpg,Test\Annotations\112\0036.txt,1,89,307,269,467,112
Test\Images\158\0072.jpg,Test\Annotations\158\0072.txt,1,322,357,468,421,158
Test\Images\131\0397.jpg,Test\Annotations\131\0397.txt,1,266,302,343,402,131
Test\Images\136\0136.jpg,Test\Annotations\136\0136.txt,0,,,,,136
Test\Images\131\0371.jpg,Test\Annotations\131\0371.txt,1,333,306,398,389,131
Test\Images\136\0022.jpg,Test\Annotations\136\0022.txt,1,306,262,425,426,136
Test\Images\122\0069.jpg,Test\Annotations\122\0069.txt,1,255,236,340,319,122
Test\Images\120\0023.jpg,Test\Annotations\120\0023.txt,1,240,99,410,253,120
Test\Images\154\0257.jpg,Test\Annotations\154\0257.txt,1,413,87,459,127,154
Test\Images\136\0277.jpg,Test\Annotations\136\0277.txt,0,,,,,136
Test\Images\110\0039.jpg,Test\Annotations\110\0039.txt,1,547,170,559,204,110
Test\Images\133\0050.jpg,Test\Annotations\133\0050.txt,1,53,154,258,344,133
Test\Images\137\0195.jpg,Test\Annotations\137\0195.txt,1,389,334,498,433,137
Test\Images\146\0010.jpg,Test\Annotations\146\0010.txt,1,218,203,263,265,146
Test\Images\107\0022.jpg,Test\Annotations\107\0022.txt,1,431,305,516,378,107
Test\Images\109\0073.jpg,Test\Annotations\109\0073.txt,1,166,105,206,139,109
Test\Images\160\0300.jpg,Test\Annotations\160\0300.txt,1,373,264,429,328,160
Test\Images\132\0027.jpg,Test\Annotations\132\0027.txt,0,,,,,132
Test\Images\115\0199.jpg,Test\Annotations\115\0199.txt,1,235,57,376,183,115
Test\Images\146\0119.jpg,Test\Annotations\146\0119.txt,1,165,220,231,283,146
Test\Images\148\0127.jpg,Test\Annotations\148\0127.txt,1,112,29,218,103,148
Test\Images\148\0104.jpg,Test\Annotations\148\0104.txt,1,218,12,295,64,148
Test\Images\133\0382.jpg,Test\Annotations\133\0382.txt,0,,,,,133
Test\Images\125\0050.jpg,Test\Annotations\125\0050.txt,1,443,266,555,464,125
Test\Images\145\0024.jpg,Test\Annotations\145\0024.txt,1,263,6,307,40,145
Test\Images\106\0107.jpg,Test\Annotations\106\0107.txt,1,197,58,474,276,106
Test\Images\158\0035.jpg,Test\Annotations\158\0035.txt,1,328,392,461,438,158
Test\Images\143\0423.jpg,Test\Annotations\143\0423.txt,1,417,249,458,297,143
Test\Images\137\0025.jpg,Test\Annotations\137\0025.txt,0,,,,,137
Test\Images\148\0163.jpg,Test\Annotations\148\0163.txt,1,34,132,135,207,148
Test\Images\127\0492.jpg,Test\Annotations\127\0492.txt,1,311,135,349,175,127
Test\Images\131\0246.jpg,Test\Annotations\131\0246.txt,1,284,243,405,426,131
Test\Images\145\0055.jpg,Test\Annotations\145\0055.txt,1,130,170,194,213,145
Test\Images\150\0091.jpg,Test\Annotations\150\0091.txt,1,241,109,307,173,150
Test\Images\128\0283.jpg,Test\Annotations\128\0283.txt,1,73,276,194,424,128
Test\Images\127\0763.jpg,Test\Annotations\127\0763.txt,1,277,139,302,169,127
Test\Images\103\0083.jpg,Test\Annotations\103\0083.txt,1,84,153,119,192,103
Test\Images\139\0400.jpg,Test\Annotations\139\0400.txt,1,7,80,174,319,139
Test\Images\104\0129.jpg,Test\Annotations\104\0129.txt,1,5,65,162,290,104
Test\Images\121\0083.jpg,Test\Annotations\121\0083.txt,1,94,363,160,426,121
Test\Images\109\0048.jpg,Test\Annotations\109\0048.txt,1,126,73,164,98,109
Test\Images\139\0163.jpg,Test\Annotations\139\0163.txt,1,201,17,449,306,139
Test\Images\132\0394.jpg,Test\Annotations\132\0394.txt,1,170,98,315,217,132
Test\Images\145\0127.jpg,Test\Annotations\145\0127.txt,1,199,247,270,304,145
Test\Images\143\0190.jpg,Test\Annotations\143\0190.txt,1,331,95,369,137,143
Test\Images\120\0033.jpg,Test\Annotations\120\0033.txt,1,336,147,444,276,120
Test\Images\133\0354.jpg,Test\Annotations\133\0354.txt,0,,,,,133
Test\Images\127\0240.jpg,Test\Annotations\127\0240.txt,1,295,126,337,172,127
Test\Images\114\0337.jpg,Test\Annotations\114\0337.txt,1,283,176,311,217,114
Test\Images\145\0115.jpg,Test\Annotations\145\0115.txt,1,193,237,264,294,145
Test\Images\131\0093.jpg,Test\Annotations\131\0093.txt,1,370,259,434,351,131
Test\Images\123\0124.jpg,Test\Annotations\123\0124.txt,1,364,204,510,375,123
Test\Images\147\0359.jpg,Test\Annotations\147\0359.txt,0,,,,,147
Test\Images\147\0197.jpg,Test\Annotations\147\0197.txt,0,,,,,147
Test\Images\127\0540.jpg,Test\Annotations\127\0540.txt,1,346,140,393,182,127
Test\Images\119\0092.jpg,Test\Annotations\119\0092.txt,1,276,289,314,323,119
Test\Images\154\0255.jpg,Test\Annotations\154\0255.txt,1,408,88,454,128,154
Test\Images\127\0125.jpg,Test\Annotations\127\0125.txt,1,314,87,333,111,127
Test\Images\147\0367.jpg,Test\Annotations\147\0367.txt,0,,,,,147
Test\Images\115\0259.jpg,Test\Annotations\115\0259.txt,1,516,178,559,271,115
Test\Images\160\0396.jpg,Test\Annotations\160\0396.txt,1,448,246,502,299,160
Test\Images\129\0018.jpg,Test\Annotations\129\0018.txt,1,511,48,535,84,129
Test\Images\143\0240.jpg,Test\Annotations\143\0240.txt,1,338,102,386,151,143
Test\Images\118\0213.jpg,Test\Annotations\118\0213.txt,1,365,94,415,155,118
Test\Images\132\0154.jpg,Test\Annotations\132\0154.txt,1,158,3,514,94,132
Test\Images\128\0027.jpg,Test\Annotations\128\0027.txt,0,,,,,128
Test\Images\120\0106.jpg,Test\Annotations\120\0106.txt,0,,,,,120
Test\Images\102\0083.jpg,Test\Annotations\102\0083.txt,1,273,272,346,381,102
Test\Images\115\0176.jpg,Test\Annotations\115\0176.txt,1,427,22,521,132,115
Test\Images\128\0413.jpg,Test\Annotations\128\0413.txt,1,80,276,164,385,128
Test\Images\137\0094.jpg,Test\Annotations\137\0094.txt,0,,,,,137
Test\Images\131\0269.jpg,Test\Annotations\131\0269.txt,0,,,,,131
Test\Images\139\0448.jpg,Test\Annotations\139\0448.txt,1,0,159,87,385,139
Test\Images\146\0171.jpg,Test\Annotations\146\0171.txt,1,181,113,279,229,146
Test\Images\157\0146.jpg,Test\Annotations\157\0146.txt,1,131,244,244,289,157
Test\Images\119\0082.jpg,Test\Annotations\119\0082.txt,1,259,275,297,309,119
Test\Images\140\0022.jpg,Test\Annotations\140\0022.txt,1,17,172,68,250,140
Test\Images\128\0312.jpg,Test\Annotations\128\0312.txt,1,121,258,265,419,128
Test\Images\146\0152.jpg,Test\Annotations\146\0152.txt,1,113,128,228,262,146
Test\Images\101\0143.jpg,Test\Annotations\101\0143.txt,1,367,252,444,413,101
Test\Images\127\0281.jpg,Test\Annotations\127\0281.txt,1,292,199,355,257,127
Test\Images\127\0208.jpg,Test\Annotations\127\0208.txt,0,,,,,127
Test\Images\133\0212.jpg,Test\Annotations\133\0212.txt,1,2,190,74,384,133
Test\Images\104\0120.jpg,Test\Annotations\104\0120.txt,1,15,106,223,400,104
Test\Images\160\0061.jpg,Test\Annotations\160\0061.txt,1,181,211,241,282,160
Test\Images\127\0494.jpg,Test\Annotations\127\0494.txt,1,307,108,346,145,127
Test\Images\145\0174.jpg,Test\Annotations\145\0174.txt,1,217,272,288,329,145
Test\Images\110\0215.jpg,Test\Annotations\110\0215.txt,1,502,50,559,189,110
